include,year,arxiv_date,company,family,name,version,parameters,doi,docs,card_repo
NA,2024,2024-02-29T00:00:00Z,Open Source/Academic,StarCoder,StarCoder2,3B,3B,10.48550/arXiv.2402.19173,https://huggingface.co/docs/transformers/en/model_doc/starcoder2,https://github.com/bigcode-project/starcoder2
NA,2024,2024-02-29T00:00:00Z,Open Source/Academic,StarCoder,StarCoder2,7B,7B,NA,NA,NA
NA,2024,2024-02-29T00:00:00Z,Open Source/Academic,StarCoder,StarCoder2,15B,15B,NA,NA,NA
NA,2020,2020-10-22T00:00:00Z,Google,T5,mT5,Small,300M,10.48550/arXiv.2010.11934,https://huggingface.co/docs/transformers/en/model_doc/mt5,https://github.com/google-research/multilingual-t5#released-model-checkpoints
NA,2020,2020-10-22T00:00:00Z,Google,T5,mT5,Base,580M,NA,NA,NA
NA,2020,2020-10-22T00:00:00Z,Google,T5,mT5,Large,1.2B,NA,NA,NA
NA,2020,2020-10-22T00:00:00Z,Google,T5,mT5,XL,3.7B,NA,NA,NA
x,2020,2020-10-22T00:00:00Z,Google,T5,mT5,XXL,13B,NA,NA,NA
x,2021,2021-01-11T00:00:00Z,Google,T5,Switch,Switch,1.6T,10.48550/arXiv.2101.03961,https://huggingface.co/google/switch-c-2048,https://github.com/google-research/t5x
NA,2023,2023-10-25T00:00:00Z,Open Source/Academic,T5,QMoE,QMoE,1.6T,10.48550/arXiv.2310.16795,NA,https://github.com/IST-DASLab/qmoe
x,2019,2019-10-23T00:00:00Z,Google,T5,T5,Small,60M,10.48550/arXiv.1910.10683,https://huggingface.co/docs/transformers/en/model_doc/t5,https://github.com/google-research/text-to-text-transfer-transformer?tab=readme-ov-file#released-model-checkpoints
NA,2019,2019-10-23T00:00:00Z,Google,T5,T5,Base,220M,NA,NA,NA
NA,2019,2019-10-23T00:00:00Z,Google,T5,T5,Large,770M,NA,NA,NA
NA,2019,2019-10-23T00:00:00Z,Google,T5,T5,3B,3B,NA,NA,NA
NA,2019,2019-10-23T00:00:00Z,Google,T5,T5,11B,11B,NA,NA,NA
NA,2019,2019-01-09T00:00:00Z,Open Source/Academic,Transformer-XL,Transformer-XL,XL,151M,10.48550/arXiv.1901.02860,https://huggingface.co/docs/transformers/en/model_doc/transfo-xl,https://github.com/kimiyoung/transformer-xl
NA,2019,2019-06-19T00:00:00Z,Open Source/Academic,Transformer-XL,XLNet,Base,110M,10.48550/arXiv.1906.08237,https://huggingface.co/docs/transformers/en/model_doc/xlnet,https://github.com/zihangdai/xlnet/
x,2019,2019-06-19T00:00:00Z,Open Source/Academic,Transformer-XL,XLNet,Large,340M,NA,NA,NA
x,2023,2023-09-07T00:00:00Z,Other Company (Salesforce),XGen,XGen,Base,7B,10.48550/arXiv.2309.03450,https://huggingface.co/Salesforce/xgen-7b-4k-base,https://github.com/salesforce/xgen?tab=readme-ov-file
x,2023,2023-10-25T00:00:00Z,Other Company (Huggingface),Zephyr,Zephyr,7B,7B,10.48550/arXiv.2310.16944,https://github.com/huggingface/alignment-handbook,https://huggingface.co/collections/HuggingFaceH4/zephyr-7b-6538c6d6d5ddd1cbb1744a66
